titres,synopsis,resume
Love on a Leash,"Love takes a furry twist in this slice of romantic comedy. A young woman falls for a stray dog with a secret: by night, it becomes a man. Follow the journey of the golden retriever and the friend who gives him a home.","Love takes a furry twist in this slice of romantic comedy. A young woman falls for a stray dog with a secret: by night, it becomes a man. Follow the journey of the golden retriever and the friend who gives him a home."
Dara iz Jasenovca,"The film is set in the Nazi-occupied Croatian Ustasha regime ""NDH"" in former Yugoslavia during WWII. The film is told through the experiences of a little girl named Dara who is sent as a child during the Holocaust in the Balkans to the infamous extermination camp complex Jasenovac, also known as ""Balkan's Auschwitz"", when it was ruled by sadistic camp commander Maks Luburic until the liberation. The film is the first modern WWII movie that takes place in or shows this NDH era camp.Written byNatasa Drakulic",Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.
The Dark Knight : Le Chevalier noir,"Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.Written byLeon Lombardi","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Tosun Pasa,"Late 19th century in Alexandria. Two traditionally rival Turkish families, ""Seferoglu""s and ""Tellioglu""s are competing for the ""Green Valley"". The winner will be determined by Daver Bey, who has a beautiful young daughter, Leyla. Both families try to arrange a marriage between a man from their family and Leyla, so that Daver Bey will be inclined to give the green valley to his ""relatives"". Tellioglus, who are behind in the race, desperately find a final solution: They will fake their idiotic butler, Saban, as the highest ranked Ottoman soldier in Egypt: Tosun Pasha.Written byAli Riza Bolukbasi","Late 19th century in Alexandria. Two traditionally rival Turkish families, ""Seferoglu""s and ""Tellioglu""s are competing for the ""Green Valley"". The winner will be determined by Daver Bey, ...                See full summary »"
Al-risâlah,"The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah.""","The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah."""
"Le Parrain, 2ᵉ partie","The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba.Written byKeith Loh <loh@sfu.ca>","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
12 Hommes en colère,"The defense and the prosecution have rested, and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, AND each other. Based on the play, all of the action takes place on the stage of the jury room.Written bypjk <PETESID@VNET.IBM.COM>",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
Süt Kardesler,"Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is married to Hüsamettin's niece stays at Hüsamettin's family residence. Hüsamettin's sister thinks Ramazan is her foster son Saban when she realizes her mistake she introduces Ramazan to her brother as her son in law Bayram since she was afraid of Hüsamettin's short-tempered character. Things get complicated when real Saban and Bayram come to the residence. Now Saban has to be Ramazan and Bayram has to be Saban. Meanwhile, a gulyabani (a ghoul from Turkish folklore) haunts the residence.Written byahmetkozan","Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is ...                See full summary »"
Hababam Sinifi Sinifta Kaldi,A young and beautiful female teacher starts working in an all boys high school.,A young and beautiful female teacher starts working in an all boys high school.
Le Seigneur des anneaux : Le Retour du roi,"The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.Written byJwelch5742",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Pulp Fiction,"Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.Written bySoumitra","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
La liste de Schindler,"Oskar Schindler is a vain and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.Written byHarald Mayr <marvin@bike.augusta.de>","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
Balkanski spijun,"Ilija Cvorovic, a reformed former Stalinist who spent several years in a prison as a political prisoner, is called in for a routine conversation. He returns home convinced that the police is interested in his subtenant, a businessman returning from Paris to open a tailor shop. Convinced that his subtenant represents the greatest threat to national security Ilija begins his own surveillance operation against him.Written byDragan Antulov <dragan.antulov@altbbs.fido.hr>","Convinced that his subtenant is a spy and an enemy of the state, a man falls into deep paranoia which leads to absurd and destructive chain of events."
Maratonci trce pocasni krug,"The Topalovic family has been in the burial business for generations. When the old (150 yrs old) Pantelija dies, five generations of his heirs start to fight for the inheritance.Written byDamir Dukich <Damir.Dukic@snet.fri.uni-lj.si>","The Topalovic family has been in the burial business for generations. When the old (150 yrs old) Pantelija dies, five generations of his heirs start to fight for the inheritance."
Qui chante là-bas?,"On April 5, 1941, a date Serbs will recognize, men on a country road board Krstic's bus for Belgrade: two Gypsies who occasionally sing about misery, an aging war vet, a Nazi sympathizer, a dapper singer, a consumptive, and a man with a shotgun. Krstic is a world-weary cynic, out for a buck; the driver is his son, the simple, cheerful Misko. En route they pick up a priest and young newlyweds going to the seaside. Along the way, mis-adventure strikes: a flat tire, a rickety bridge, a farmer who's plowed the road, a funeral, two feuding families, an army detail, and a lost wallet slow the bus and expose rifts among the travelers. On April 6, amid rumors of war, they reach Belgrade...Written by<jhailey@hotmail.com>","It's April 5, 1941, somewhere in Serbia. A group of people go on a bus to Belgrade, on a journey that will change their lives forever."
Pariyerum Perumal,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.","A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this."
Kill Bill: The Whole Bloody Affair,"The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer.","The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer."
The Phantom of the Opera at the Royal Albert Hall,"In 1986, Andrew Lloyd Webber's The Phantom of the Opera arrived on the West End stage at Her Majesty's Theatre. Fast forward 25 years and Phantom has achieved global success, millions of viewers, a film adaptation in 2004 and a musical sequel. Now viewers have the chance to experience this phenomenal show right from their own screens. Filmed at the Royal Albert Hall, this stunning performance brings the show to a bigger stage and celebrates its role as one of the biggest shows in theatre history, with speeches, performances and appearances by the original cast and some of the show's most notable Phantoms, including John Owen-Jones and Colm Wilkinson. Starring Ramin Karimloo and Sierra Boggess, Phantom tells the story of a deformed musical genius who lives in the catacombs of the Paris Opera House. Shunned by society, the Phantom seeks revenge in cruel and often violent acts. The Phantom is in love with chorus girl Christine Daaé and has been secretly training her to replace La ...Written byLadyN1","A disfigured musical genius, hidden away in the Paris Opera House, terrorizes the opera company for the unwitting benefit of a young protégée whom he trains and loves."
Les Misérables in Concert: The 25th Anniversary,A celebratory 25th anniversary concert performance of the hit musical at The O2 in London.,A celebratory 25th anniversary concert performance of the hit musical at The O2 in London.
Inception,"Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.Written byWarner Bros. Pictures",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
Saban Oglu Saban,"Husamettin the commander in the army is constantly bothered by the stupidity of one of his soldiers shaban, after discharge from the army shaban and his friend Ramazan work in a night club as member of the band, they ran again into Husamettin and his in laws, but things gets complicated when the diamond of the family is been stolen and shaban and his friend Ramazan is put in charge of finding the thief.Written byMoh X","Husamettin the commander in the army is constantly bothered by the stupidity of one of his soldiers shaban, after discharge from the army shaban and his friend Ramazan work in a night club ...                See full summary »"
Hababam Sinifi Uyaniyor,A kind and hardworking student joins to Hababam Sinifi (The Chaos Class) but they don't accept him as one of them and he becomes the target of all class' pranks.,A kind and hardworking student joins to Hababam Sinifi (The Chaos Class) but they don't accept him as one of them and he becomes the target of all class' pranks.
Kireedam,The life of a young man turns upside down when he intervenes in a dispute in order to rescue his father (a cop) from a ruthless local outlaw.,The life of a young man turns upside down when he intervenes in a dispute in order to rescue his father (a cop) from a ruthless local outlaw.
Fight Club,"A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter), another fake attendee of support groups, his life seems to become a little more bearable. However when he associates himself with Tyler (Brad Pitt) he is dragged into an underground fight club and soap making scheme. Together the two men spiral out of control and engage in competitive rivalry for love and power.Written byRhiannon",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Le Seigneur des anneaux : La Communauté de l'anneau,"An ancient Ring thought lost for centuries has been found, and through a strange twist of fate has been given to a small Hobbit named Frodo. When Gandalf discovers the Ring is in fact the One Ring of the Dark Lord Sauron, Frodo must make an epic quest to the Cracks of Doom in order to destroy it. However, he does not go alone. He is joined by Gandalf, Legolas the elf, Gimli the Dwarf, Aragorn, Boromir, and his three Hobbit friends Merry, Pippin, and Samwise. Through mountains, snow, darkness, forests, rivers and plains, facing evil and danger at every corner the Fellowship of the Ring must go. Their quest to destroy the One Ring is the only hope for the end of the Dark Lords reign.Written byPaul Twomey <toomsp@hotmail.com>",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Forrest Gump,"Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.Written byaliw135","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
"Le Bon, la brute, le truand","Blondie (The Good) (Clint Eastwood) is a professional gunslinger who is out trying to earn a few dollars. Angel Eyes (The Bad) (Lee Van Cleef) is a hitman who always commits to a task and sees it through, as long as he is paid to do so. And Tuco (The Ugly) (Eli Wallach) is a wanted outlaw trying to take care of his own hide. Tuco and Blondie share a partnership together making money off of Tuco's bounty, but when Blondie unties the partnership, Tuco tries to hunt down Blondie. When Blondie and Tuco come across a horse carriage loaded with dead bodies, they soon learn from the only survivor, Bill Carson (Antonio Casale), that he and a few other men have buried a stash of gold in a cemetery. Unfortunately, Carson dies and Tuco only finds out the name of the cemetery, while Blondie finds out the name on the grave. Now the two must keep each other alive in order to find the gold. Angel Eyes (who had been looking for Bill Carson) discovers that Tuco and Blondie met with Carson and knows ...Written byJeremy Thomson",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
La condition de l'homme: La prière du soldat,"Part three of a trilogy. After the Japanese defeat to the Russians in the last episode, Kaji, the Japanese soldier and humanistic protagonist, leads the last remaining men through Manchuria. Intent on returning to his dear wife and his old life, Kaji faces great odds in a variety of different harrowing circumstances as he and his fellow men sneak behind enemy lines. Ultimately, he finds himself in the exact opposite position he held in the first episode: Then a labor manager, Kaji is now a prisoner of war, forced to work for the Russians, who do not seem to hold to the Communist ideals in which Kaji himself had put his faith.Written bynao209@nyu.edu","His ideals challenged by life as a conscript in war-time Japan's military, a pacifist faces ever greater tests in his fight for survival."
Montagne II,"DAG II; tells the story of a clandestine special forces squad; call sign 'Storm Bringer'. Following the events of the first film, Bekir and Oguz, unlikely best friends, have enrolled in the world famous, perpetually grueling Turkish special forces training. Their first mission begins six years later-- to infiltrate the most barbarous area of modern day Iraq for a rescue mission.Written byahmetkozan","In a desolate war zone where screams of the innocent echo, seven Maroon Berets will dance with death on the very line between disaster and valor."
Poove Unakkaga,"When a man realizes that the Hindu woman he loves is in love with a Christian man, he decides to sacrifice his love and unite their families so as to make the love story a success.","When a man realizes that the Hindu woman he loves is in love with a Christian man, he decides to sacrifice his love and unite their families so as to make the love story a success."
Monpura,"A housemaid is killed by a local landlord's son. His servant takes the blame for the murder, to save the landlord's mentally ill son and is marooned in an island named Monpura. There the servant comes across a fisherman's daughter.Written byAnonymous","A housemaid is killed by a local landlord's son. His servant takes the blame for the murder, to save the landlord's mentally ill son and is marooned in an island named Monpura. There the ...                See full summary »"
Drishyam 2,"Six years after the terrible event that almost destroyed his family, Georgekutty is the proud owner of a movie theater and aspiring to write and produce his own hit film. Yet his wife Rani is ill at ease. She worries about Georgekutty, who's taken out a loan and started drinking. She worries about her daughters; Anju suffers epileptic fits and cowers in fear at the sound of a passing police siren, and young Anu's growing independence takes her away from her mother's watchful eyes. Even more worrying, the neighbors have started to gossip and the police have remained relentless in unearthing George's darkest secret. When someone from the past returns to the village, can Georgekutty save his family a second time?Written byL. Hamre",A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
Neseli Günler,A mid-aged couple with 6 kids who are running a pickle shop gets divorced with 3 kids each. The family members find each other years later with a funny story.,A mid-aged couple with 6 kids who are running a pickle shop gets divorced with 3 kids each. The family members find each other years later with a funny story.
Graves End,"In Graves End, the four year-old son of the wealthy financier Tag Graves is kidnapped and the criminals demand a ransom of six million dollars. FBI agent Paul Rickman is assigned to the case that ends with the cruel death of the child and the disappearance of the requested amount. The kidnapper Luke Devilyn is arrested but is released after his trial due to fails in the evidences. He returns to Graves End, a place where the 666 dwellers welcome ex-cons rejected by other towns. When Luke Devilyn is found dead in the woods nearby the town, agent Rickman notes that the criminals that move to Graves End simply vanish, and he returns to the town for further investigation. He meets Sheriff Hooper and recognizes him from a case of bad temper and attitude with great repercussion in the past. Meanwhile, the psychopath Billy also comes to the town leaving a trail of blood behind.Written byClaudio Carvalho, Rio de Janeiro, Brazil","When society turns their back on reformed felons, the town of Graves End welcomes them but when the ex-cons disappear, FBI agent Paul Rickman comes looking for them and discovers more than he expected."
Anbe Sivam,"Evocative and provocative, this masterfully crafted relationship drama tells the story of a series of comic events that occur when Nalla Sivam (Kamal Haasan) a wise-cracking, handicapped communist and Anbarasu (R. Madhavan), an arrogant young advertisement filmmaker who favors capitalism meet. They get stuck with each other on their problem-filled trip from Bhubaneswar to Chennai, giving them a unique opportunity to explore each other's belief system. Themes such as globalization, financial disparity and compassion in present-day India are explored around the two protagonists, while they also find how deeply interconnected their lives are.Written bySanthosh","Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate."
Devasuram,"Neelakandan (Mohanlal) is the heir to the Mangalasherry family who squanders away his father's largest and is a dependable menace to society. One of his victims is promising dancer Bhanu (Revathi) who vows never to dance again till his death following a public affront by Neelakandan and his cronies. Ironically they fall in love. Meanwhile, the vicious Shekaran (Napoleon) of a rival clan has sworn to avenge the death of his uncle, killed by Neelakandan's men. A reasonably watchable film that goes fairly awry towards the second half. Innocent is good as Neelakandan's long-suffering manservant.Written byJoyojeet Pal","Neelakanthan squanders away the inheritance left by his father. However, his life turns upside down when his mother reveals a terrible secret on her deathbed that changes the course of his life."
Canim Kardesim,Two poor men try to find a television as a last wish for the terminally ill brother of one of them.,Two poor men try to find a television as a last wish for the terminally ill brother of one of them.
Kibar Feyzo,"A feudal village in Southeastern Turkey in 1970's. A poor peasant, Feyzo returns from military service dreaming about getting married to Gülo, the love of his life. However, he has to face many obstacles. According to tradition, a man has to pay a lot of money to the bride's father in order to get the bride's hand. While Feyzo is trying to deal with the greed of Gulo's father who is asking for an astronomical amount of money, he has to also convince his mother, who wants to buy an ox instead of a bride. Feyzo overcomes all these difficulties, but he gets kicked out of the village on his wedding day by the landlord, Maho Aga, who is eager to protect his status against any threat. However, Feyzo goes to the big city on exile only to bring back more problems for Maho.Written byAnonymous","A feudal village in Southeastern Turkey in 1970's. A poor peasant, Feyzo returns from military service dreaming about getting married to Gülo, the love of his life. However, he has to face ...                See full summary »"
Hababam Sinifi Tatilde,Hababam Sinifi (The Chaos Class) continue to their adventures. Now first female students of the school history joins to the class and all Hababam Sinifi fight each other for them at first but later they understand that female students are trouble as much as Hababam Sinifi and played with them so they decide to fight against that girls.,Hababam Sinifi (The Chaos Class) continue to their adventures. Now first female students of the school history joins to the class and all Hababam Sinifi fight each other for them at first ...                See full summary »
Manichitrathazhu,"Renowned Psychiatrist Dr. Sunny Joseph lives in America. He decides to travel to a town in India after he gets a distress call from his friend, who belongs to a very noble and wealthy family, to counsel and treat a female family member, who he suspects is responsible for a variety of incidents. Sunny accepts this assignment not realizing that there is another side to this tale, namely a vengeful spirit, who may not respond to his methods, and he may end up endangering everyone's lives.Written byrAjOo (gunwanti@hotmail.com)","When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed."
Zügürt Aga,"The landowner (Agha) of the Haraptar village marries off his old father with the young and beautiful Kiraz. But on the nuptial night, his father dies and everything starts to go bad for the Agha. Due to the long drought and provocations of Kekec Salman (big brother of Kiraz), the peasants steal the crops and run away to Istanbul. Without the peasants and crops, Agha is also forced to sell the village and move to Istanbul. But he cannot keep up with the big city life and consumes all his money and belongings. Agha's wife and relatives leave him during this downfall. Only Kiraz stays with him at the end and they make a fresh start via the best thing that Agha can make: raw meatballs .Written bykursatkelek","The landowner (Agha) of the Haraptar village marries off his old father with the young and beautiful Kiraz. But on the nuptial night, his father dies and everything starts to go bad for the...                See full summary »"
Lajanje na zvezde,Comedy about teachers and students at a high school in a small provincial town. Mihailo tries to win the heart of a girl his brother is also chasing.,Comedy about teachers and students at a high school in a small provincial town. Mihailo tries to win the heart of a girl his brother is also chasing.
Le Seigneur des anneaux : Les Deux Tours,"The continuing quest of Frodo and the Fellowship to destroy the One Ring. Frodo and Sam discover they are being followed by the mysterious Gollum. Aragorn, the Elf archer Legolas, and Gimli the Dwarf encounter the besieged Rohan kingdom, whose once great King Theoden has fallen under Saruman's deadly spell.Written byJwelch5742","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Matrix,"Thomas A. Anderson is a man living two lives. By day he is an average computer programmer and by night a hacker known as Neo. Neo has always questioned his reality, but the truth is far beyond his imagination. Neo finds himself targeted by the police when he is contacted by Morpheus, a legendary computer hacker branded a terrorist by the government. As a rebel against the machines, Neo must confront the agents: super-powerful computer programs devoted to stopping Neo and the entire human rebellion.Written byredcommander27","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
"Joli village, jolie flamme","At the Belgrade army hospital, casualties of Bosnian civil war are treated. In the hospital they remember their youth and the war. Two young boys, Halil, a Muslim, and Milan, a Serb, have grown up together near a deserted tunnel linking the Yugoslav cities of Belgrade and Zagreb. They never dare go inside, as they believe an ogre resides there. Twelve years later, during the Bosnian civil war, Milan, who is trapped in the tunnel with his troop, and Halil, find themselves on opposing sides, fatefully heading toward confrontation.Written bySaso Koren <saso.koren@guest.arnes.si>","During the war in Bosnia, two childhood friends eventually become enemies, as the tragic and devastating circumstances of the war put them on the opposite sides and expose the most gruesome and cruel aspects of the human nature."
Thevar Magan,"Set against the backdrop of the feudal Madurai district, controlled by big landlords who employ their own gangs and often indulge in expensive feuds with their neighbours. The star explained that this environment was part of his childhood experience. He plays Shaktivelu, the modern son of Peria-thevar (Ganesan), who returns to his ancestral home to introduce his girlfriend (Gauthami) to his family. Unwittingly, he is forced to become involved in the bloody feuds between different members of the clan led by Mayathevar (Nasser), and when his father dies he assumes the godfather's mantle. The rival family is eventually annihilated in a gory ending. However, how will Shakti's love and personal life pan out?Written bySanthosh",The urbane son of a village chieftain struggles between his personal aspirations and those of his family.
Les affranchis,"Henry Hill might be a small time gangster, who may have taken part in a robbery with Jimmy Conway and Tommy De Vito, two other gangsters who might have set their sights a bit higher. His two partners could kill off everyone else involved in the robbery, and slowly start to think about climbing up through the hierarchy of the Mob. Henry, however, might be badly affected by his partners' success, but will he consider stooping low enough to bring about the downfall of Jimmy and Tommy?Written byColin Tinto <cst@imdb.com>","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
Nayakan,"A small boy (Ratnavelu) from Tamilnadu sees his father, a labor leader, killed in cold blood by a policeman. He kills the policeman and runs away to the city of Bombay. From there, the story traces his ascent to become a mafia chief (Velu Naicker).Written bySathyanarayanan Narayanaswamy <sathya@ntd.comsat.com>","A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll."
